timestamp,value
2015-09-29,30.81280445
2015-09-30,32.75214239
2015-10-01,30.97476126
2015-10-02,30.0966937
2015-10-03,27.56203474
2015-10-04,28.16273133
2015-10-05,26.66002415
2015-10-06,26.22956956
2015-10-07,22.26120996
2015-10-08,22.499114
2015-10-09,21.03369434
2015-10-10,19.88359788
2015-10-11,24.09242298
2015-10-12,21.97043702
2015-10-13,26.96421846
2015-10-14,25.10601719
2015-10-15,21.41395349
2015-10-16,15.75661376
2015-10-17,17.94701987
2015-10-18,18.69633508
2015-10-19,20.46474359
2015-10-20,23.76447876
2015-10-21,23.93640898
2015-10-22,29.36160298
2015-10-23,26.8673947
2015-10-24,28.57198697
2015-10-25,28.27248851
2015-10-26,25.62551724
2015-10-27,30.05825826
2015-10-28,28.84843206
2015-10-29,27.32269939
2015-10-30,22.62416918
2015-10-31,24.8451672
2015-11-01,23.63886463
2015-11-02,27.60913706
2015-11-03,27.29160063
2015-11-04,23.82172131
2015-11-05,31.64969136
2015-11-06,24.17819149
2015-11-07,27.69348659
2015-11-08,23.95327103
2015-11-09,18.5704698
2015-11-10,15.29230769
2015-11-11,19.10596026
2015-11-12,21.16883117
2015-11-13,25.19893899
2015-11-14,27.29949239
2015-11-15,36.24783862
2015-11-16,35.69157695
2015-11-17,30.61262305
2015-11-18,28.24609375
2015-11-19,35.64204545
2015-11-20,28.56154684
2015-11-21,28.69323545
2015-11-22,30.21066253
2015-11-23,26.92515135
2015-11-24,24.20094461
2015-11-25,22.0852225
2015-11-26,22.15820759
2015-11-27,25.4601227
2015-11-28,26.03718593
2015-11-29,23.26215022
2015-11-30,19.95760599
2015-12-01,17.59360731
2015-12-02,22.38095238
2015-12-03,22.47282609
2015-12-04,17.56521739
2015-12-05,22.51002865
2015-12-06,21.15896488
2015-12-07,25.51805869
2015-12-08,28.03834116
2015-12-09,27.82068452
2015-12-10,27.34127907
2015-12-11,30.67030303
2015-12-12,31.42114804
2015-12-13,29.20471014
2015-12-14,28.967176
2015-12-15,24.48022599
2015-12-16,26.90488702
2015-12-17,26.21621622
2015-12-18,24.11770158
2015-12-19,21.73104056
2015-12-20,23.44626936
2015-12-21,24.40703518
2015-12-22,23.50478927
2015-12-23,25.03918228
2015-12-24,22.4735376
2015-12-25,21.74545455
2015-12-26,20.83168317
2015-12-27,20.39880952
2015-12-28,25.72058824
2015-12-29,19.39095745
2015-12-30,22.17755102
2015-12-31,24.47044632
2016-01-01,28.2923204
2016-01-02,32.9646979
2016-01-03,31.02988643
2016-01-04,31.16605392
2016-01-05,31.60366972
2016-01-06,29.30501475
2016-01-07,31.3047966
2016-01-08,29.53276505
2016-01-09,27.07925151
2016-01-10,27.84167637
2016-01-11,22.98277559
2016-01-12,21.69538188
2016-01-13,21.07218391
2016-01-14,23.82631579
2016-01-15,23.37913223
2016-01-16,24.78812199
2016-01-17,28.13603819
2016-01-18,18.33067729
2016-01-19,18.50505051
2016-01-20,19.50617284
2016-01-21,18.83471074
2016-01-22,22.61891117
2016-01-23,31.37862319
2016-01-24,26.80548303
2016-01-25,30.38818182
2016-01-26,34.97290152
2016-01-27,33.3316129
2016-01-28,30.59762611
2016-01-29,30.1004902
2016-01-30,28.26221398
2016-01-31,27.72890889
2016-02-01,26.94884488
2016-02-02,25.35770089
2016-02-03,28.8755114
2016-02-04,25.02189055
2016-02-05,23.96462585
2016-02-06,21.25902527
2016-02-07,25.44672131
2016-02-08,27.21551724
2016-02-09,27.42242704
2016-02-10,22.80103359
2016-02-11,20.75585284
2016-02-12,21.12444444
2016-02-13,17.68780488
2016-02-14,17.91397849
2016-02-15,19.66946779
2016-02-16,26.6754386
2016-02-17,26.20117647
2016-02-18,27.78955696
2016-02-19,28.90035842
2016-02-20,26.33523087
2016-02-21,29.53823355
2016-02-22,30.79627329
2016-02-23,26.77983408
2016-02-24,28.11837238
2016-02-25,25.32867946
2016-02-26,30.84129794
2016-02-27,23.63997478
2016-02-28,23.74469214
2016-02-29,23.54609929
2016-03-01,20.5258216
2016-03-02,20.33377396
2016-03-03,23.87931034
2016-03-04,23.26708075
2016-03-05,23.78450363
2016-03-06,25.09836066
2016-03-07,18.36
2016-03-08,17.64444444
2016-03-09,19.70909091
2016-03-10,24.98818898
2016-03-11,20.03303965
2016-03-12,21.69104666
2016-03-13,28.1556145
2016-03-14,33.24929775
2016-03-15,30.24382315
2016-03-16,27.58513342
2016-03-17,29.59487535
2016-03-18,29.58508475
2016-03-19,25.14855571
2016-03-20,25.80721311
2016-03-21,29.72152778
2016-03-22,26.3546832
2016-03-23,22.69619501
2016-03-24,22.16525935
2016-03-25,21.04242424
2016-03-26,23.37545389
2016-03-27,24.20133482
2016-03-28,25.01843318
2016-03-29,20.57446809
2016-03-30,26.70610687
2016-03-31,22.8582996
2016-04-01,25.65432099
2016-04-02,21.15591398
2016-04-03,24.4009901
2016-04-04,19.74246575
2016-04-05,24.35130971
2016-04-06,28.32272727
2016-04-07,26.32298137
2016-04-08,27.80956447
2016-04-09,28.78789939
2016-04-10,26.86590038
2016-04-11,27.10982659
2016-04-12,24.72212176
2016-04-13,25.86819831
2016-04-14,27.35385612
2016-04-15,29.42137097
2016-04-16,23.42514052
2016-04-17,20.21073826
2016-04-18,21.07751147
2016-04-19,23.05912786
2016-04-20,25.17945691
2016-04-21,25.86145648
2016-04-22,25.73841962
2016-04-23,21.21052632
2016-04-24,15.95302013
2016-04-25,15.78030303
2016-04-26,17.13684211
2016-04-27,22.78723404
2016-04-28,22.81946903
2016-04-29,22.98222222
2016-04-30,26.39475909
2016-05-01,29.55988661
2016-05-02,27.54203822
2016-05-03,31.14683691
2016-05-04,31.59219858
2016-05-05,30.44430052
2016-05-06,27.81336406
2016-05-07,27.44426139
2016-05-08,26.5696793
2016-05-09,25.77825818
2016-05-10,26.07075705
2016-05-11,22.98225377
2016-05-12,21.46344892
2016-05-13,22.75841969
2016-05-14,28.5032967
2016-05-15,24.49520154
2016-05-16,20.32768362
2016-05-17,20.21195652
2016-05-18,18.40136054
2016-05-19,22.17647059
2016-05-20,20.09302326
2016-05-21,21.46764706
2016-05-22,23.428051
2016-05-23,27.06079027
2016-05-24,24.56836616
2016-05-25,28.94643843
